Local time,Open,High,Low,Close,Volume
20.05.2022 20:30:00.000 GMT+0430,31026.699,31037.717,30758.739,30823.299,4.4998
20.05.2022 21:30:00.000 GMT+0430,30823.257,30870.717,30633.229,30825.799,4.9853
20.05.2022 22:30:00.000 GMT+0430,30827.729,30940.787,30686.739,30856.709,4.9423
20.05.2022 23:30:00.000 GMT+0430,30856.727,31273.289,30761.299,31246.767,5.2996
21.05.2022 00:30:00.000 GMT+0430,31246.209,31296.749,31201.259,31243.259,0.8797
21.05.2022 01:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 02:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 03:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 04:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 05:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 06:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 07:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 08:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 09:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 10:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 11:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 12:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 13:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 14:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 15:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 16:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 17:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 18:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 19:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 20:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 21:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 22:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
21.05.2022 23:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 00:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 01:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 02:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 03:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 04:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 05:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 06:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 07:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 08:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 09:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 10:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 11:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 12:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 13:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 14:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 15:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 16:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 17:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 18:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 19:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 20:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 21:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 22:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
22.05.2022 23:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
23.05.2022 00:30:00.000 GMT+0430,31243.259,31243.259,31243.259,31243.259,0
